# <run>|<tag>|<nshards>|<cluster>|<partition>|<time>|<run_llm.py args>   (consumed by launch_nm.sh)
# zero-shot states for the read-out / kNN vote (all 6,600 issues)
states|qw35_9b|2|ascend|preemptible-nextgen|01:30:00|--mode states --roles inner,dev,test
states|gm4_12b|3|ascend|preemptible-nextgen|01:30:00|--mode states --roles inner,dev,test
states|mi3_8b|1|ascend|preemptible-nextgen|01:30:00|--mode states --roles inner,dev,test
# RAGTAG K sweep on val495 (index = inner, PS)
val_sweep|qw35_9b|6|ascend|preemptible-nextgen|01:30:00|--mode gen --uids_csv /users/PCS0289/alirezzzhp1378/nm/repo/results/issues11k/exploration/newllms/splits/val495.csv --ks 0,1,3,5,7,9,10,12,15 --neighbors /users/PCS0289/alirezzzhp1378/nm/repo/results/issues11k/exploration/rag_next/features/nb_PS_raw_dev.npz
val_sweep|gm4_12b|8|ascend|preemptible-nextgen|01:30:00|--mode gen --uids_csv /users/PCS0289/alirezzzhp1378/nm/repo/results/issues11k/exploration/newllms/splits/val495.csv --ks 0,1,3,5,7,9,10,12,15 --neighbors /users/PCS0289/alirezzzhp1378/nm/repo/results/issues11k/exploration/rag_next/features/nb_PS_raw_dev.npz
val_sweep|mi3_8b|4|ascend|preemptible-nextgen|01:30:00|--mode gen --uids_csv /users/PCS0289/alirezzzhp1378/nm/repo/results/issues11k/exploration/newllms/splits/val495.csv --ks 0,1,3,5,7,9,10,12,15 --neighbors /users/PCS0289/alirezzzhp1378/nm/repo/results/issues11k/exploration/rag_next/features/nb_PS_raw_dev.npz
# zero-shot RAGTAG (K = 0) on test
test_k0|qw35_9b|2|ascend|preemptible-nextgen|01:30:00|--mode gen --roles test --ks 0
test_k0|gm4_12b|3|ascend|preemptible-nextgen|01:30:00|--mode gen --roles test --ks 0
test_k0|mi3_8b|2|ascend|preemptible-nextgen|01:30:00|--mode gen --roles test --ks 0
