method,setting,model,k,n,invalid_rate,p_macro,r_macro,f1_macro,p_bug,r_bug,f1_bug,support_bug,share_bug,p_feature,r_feature,f1_feature,support_feature,share_feature,p_question,r_question,f1_question,support_question,share_question,conf_bug_to_bug,conf_bug_to_feature,conf_bug_to_question,conf_bug_to_invalid,conf_feature_to_bug,conf_feature_to_feature,conf_feature_to_question,conf_feature_to_invalid,conf_question_to_bug,conf_question_to_feature,conf_question_to_question,conf_question_to_invalid
votag,PS,-,1,3300,0.00000,0.56835,0.56515,0.56383,0.54066,0.65273,0.59143,1100,0.40242,0.60499,0.52909,0.56450,1100,0.29152,0.55941,0.51364,0.53555,1100,0.30606,0.65273,0.16000,0.18727,0.00000,0.25364,0.52909,0.21727,0.00000,0.30091,0.18545,0.51364,0.00000
votag,PA,-,1,3300,0.00000,0.56951,0.56636,0.56491,0.54361,0.65727,0.59506,1100,0.40303,0.60587,0.52545,0.56280,1100,0.28909,0.55906,0.51636,0.53686,1100,0.30788,0.65727,0.15273,0.19000,0.00000,0.25727,0.52545,0.21727,0.00000,0.29455,0.18909,0.51636,0.00000
votag,PS,-,2,3300,0.00000,0.56835,0.56515,0.56383,0.54066,0.65273,0.59143,1100,0.40242,0.60499,0.52909,0.56450,1100,0.29152,0.55941,0.51364,0.53555,1100,0.30606,0.65273,0.16000,0.18727,0.00000,0.25364,0.52909,0.21727,0.00000,0.30091,0.18545,0.51364,0.00000
votag,PA,-,2,3300,0.00000,0.56951,0.56636,0.56491,0.54361,0.65727,0.59506,1100,0.40303,0.60587,0.52545,0.56280,1100,0.28909,0.55906,0.51636,0.53686,1100,0.30788,0.65727,0.15273,0.19000,0.00000,0.25727,0.52545,0.21727,0.00000,0.29455,0.18909,0.51636,0.00000
votag,PS,-,3,3300,0.00000,0.57772,0.57273,0.57104,0.54115,0.67545,0.60089,1100,0.41606,0.62912,0.53818,0.58011,1100,0.28515,0.56288,0.50455,0.53212,1100,0.29879,0.67545,0.13545,0.18909,0.00000,0.25909,0.53818,0.20273,0.00000,0.31364,0.18182,0.50455,0.00000
votag,PA,-,3,3300,0.00000,0.58533,0.58030,0.57869,0.54745,0.68182,0.60729,1100,0.41515,0.63742,0.54818,0.58944,1100,0.28667,0.57114,0.51091,0.53935,1100,0.29818,0.68182,0.12455,0.19364,0.00000,0.26182,0.54818,0.19000,0.00000,0.30182,0.18727,0.51091,0.00000
votag,PS,-,4,3300,0.00000,0.58644,0.58030,0.57809,0.54294,0.69545,0.60980,1100,0.42697,0.63771,0.54727,0.58904,1100,0.28606,0.57867,0.49818,0.53542,1100,0.28697,0.69545,0.12273,0.18182,0.00000,0.27182,0.54727,0.18091,0.00000,0.31364,0.18818,0.49818,0.00000
votag,PA,-,4,3300,0.00000,0.59568,0.58879,0.58709,0.54708,0.69727,0.61311,1100,0.42485,0.65245,0.55636,0.60059,1100,0.28424,0.58750,0.51273,0.54757,1100,0.29091,0.69727,0.11727,0.18545,0.00000,0.26909,0.55636,0.17455,0.00000,0.30818,0.17909,0.51273,0.00000
votag,PS,-,5,3300,0.00000,0.59169,0.58606,0.58407,0.54917,0.69545,0.61372,1100,0.42212,0.64503,0.56000,0.59951,1100,0.28939,0.58088,0.50273,0.53899,1100,0.28848,0.69545,0.12182,0.18273,0.00000,0.26000,0.56000,0.18000,0.00000,0.31091,0.18636,0.50273,0.00000
votag,PA,-,5,3300,0.00000,0.59221,0.58606,0.58445,0.54644,0.69000,0.60988,1100,0.42091,0.65016,0.56091,0.60224,1100,0.28758,0.58004,0.50727,0.54122,1100,0.29152,0.69000,0.11818,0.19182,0.00000,0.26364,0.56091,0.17545,0.00000,0.30909,0.18364,0.50727,0.00000
votag,PS,-,6,3300,0.00000,0.59130,0.58485,0.58223,0.54775,0.70909,0.61807,1100,0.43152,0.64530,0.54909,0.59332,1100,0.28364,0.58085,0.49636,0.53529,1100,0.28485,0.70909,0.11182,0.17909,0.00000,0.27182,0.54909,0.17909,0.00000,0.31364,0.19000,0.49636,0.00000
votag,PA,-,6,3300,0.00000,0.60045,0.59303,0.59120,0.55028,0.70636,0.61863,1100,0.42788,0.65877,0.55636,0.60325,1100,0.28152,0.59228,0.51636,0.55172,1100,0.29061,0.70636,0.10818,0.18545,0.00000,0.27364,0.55636,0.17000,0.00000,0.30364,0.18000,0.51636,0.00000
votag,PS,-,7,3300,0.00000,0.60257,0.59606,0.59371,0.55728,0.71636,0.62689,1100,0.42848,0.66100,0.56545,0.60951,1100,0.28515,0.58942,0.50636,0.54474,1100,0.28636,0.71636,0.10364,0.18000,0.00000,0.26182,0.56545,0.17273,0.00000,0.30727,0.18636,0.50636,0.00000
votag,PA,-,7,3300,0.00000,0.60364,0.59667,0.59456,0.55626,0.71455,0.62555,1100,0.42818,0.66452,0.56364,0.60994,1100,0.28273,0.59015,0.51182,0.54820,1100,0.28909,0.71455,0.10455,0.18091,0.00000,0.26182,0.56364,0.17455,0.00000,0.30818,0.18000,0.51182,0.00000
votag,PS,-,8,3300,0.00000,0.60087,0.59273,0.58982,0.54921,0.72545,0.62515,1100,0.44030,0.65451,0.55455,0.60039,1100,0.28242,0.59891,0.49818,0.54392,1100,0.27727,0.72545,0.10455,0.17000,0.00000,0.28182,0.55455,0.16364,0.00000,0.31364,0.18818,0.49818,0.00000
votag,PA,-,8,3300,0.00000,0.60564,0.59727,0.59486,0.55132,0.72273,0.62549,1100,0.43697,0.66345,0.56273,0.60895,1100,0.28273,0.60216,0.50636,0.55012,1100,0.28030,0.72273,0.10182,0.17545,0.00000,0.27818,0.56273,0.15909,0.00000,0.31000,0.18364,0.50636,0.00000
votag,PS,-,9,3300,0.00000,0.60074,0.59273,0.59044,0.54774,0.71455,0.62012,1100,0.43485,0.66310,0.56364,0.60934,1100,0.28333,0.59140,0.50000,0.54187,1100,0.28182,0.71455,0.09909,0.18636,0.00000,0.27727,0.56364,0.15909,0.00000,0.31273,0.18727,0.50000,0.00000
votag,PA,-,9,3300,0.00000,0.60838,0.60091,0.59843,0.55874,0.72636,0.63162,1100,0.43333,0.67024,0.56909,0.61554,1100,0.28303,0.59615,0.50727,0.54813,1100,0.28364,0.72636,0.09455,0.17909,0.00000,0.26636,0.56909,0.16455,0.00000,0.30727,0.18545,0.50727,0.00000
votag,PS,-,10,3300,0.00000,0.60029,0.59273,0.59012,0.55115,0.72000,0.62436,1100,0.43545,0.66452,0.56182,0.60887,1100,0.28182,0.58521,0.49636,0.53714,1100,0.28273,0.72000,0.09455,0.18545,0.00000,0.27182,0.56182,0.16636,0.00000,0.31455,0.18909,0.49636,0.00000
votag,PA,-,10,3300,0.00000,0.60476,0.59667,0.59430,0.55184,0.72091,0.62515,1100,0.43545,0.67167,0.56909,0.61614,1100,0.28242,0.59076,0.50000,0.54161,1100,0.28212,0.72091,0.09364,0.18545,0.00000,0.27000,0.56909,0.16091,0.00000,0.31545,0.18455,0.50000,0.00000
votag,PS,-,11,3300,0.00000,0.60306,0.59424,0.59162,0.54814,0.72455,0.62412,1100,0.44061,0.66883,0.56182,0.61067,1100,0.28000,0.59219,0.49636,0.54006,1100,0.27939,0.72455,0.09273,0.18273,0.00000,0.27909,0.56182,0.15909,0.00000,0.31818,0.18545,0.49636,0.00000
votag,PA,-,11,3300,0.00000,0.60251,0.59424,0.59185,0.55000,0.72000,0.62362,1100,0.43636,0.67100,0.56364,0.61265,1100,0.28000,0.58654,0.49909,0.53929,1100,0.28364,0.72000,0.09182,0.18818,0.00000,0.27273,0.56364,0.16364,0.00000,0.31636,0.18455,0.49909,0.00000
votag,PS,-,12,3300,0.00000,0.60083,0.59212,0.58928,0.54695,0.72545,0.62368,1100,0.44212,0.66558,0.55909,0.60771,1100,0.28000,0.58997,0.49182,0.53644,1100,0.27788,0.72545,0.09273,0.18182,0.00000,0.28091,0.55909,0.16000,0.00000,0.32000,0.18818,0.49182,0.00000
votag,PA,-,12,3300,0.00000,0.60760,0.59970,0.59710,0.55733,0.72909,0.63174,1100,0.43606,0.67316,0.56545,0.61462,1100,0.28000,0.59232,0.50455,0.54492,1100,0.28394,0.72909,0.09364,0.17727,0.00000,0.26455,0.56545,0.17000,0.00000,0.31455,0.18091,0.50455,0.00000
votag,PS,-,13,3300,0.00000,0.60488,0.59545,0.59208,0.55105,0.74091,0.63203,1100,0.44818,0.67624,0.55636,0.61047,1100,0.27424,0.58734,0.48909,0.53373,1100,0.27758,0.74091,0.08091,0.17818,0.00000,0.27818,0.55636,0.16545,0.00000,0.32545,0.18545,0.48909,0.00000
votag,PA,-,13,3300,0.00000,0.61414,0.60485,0.60185,0.55798,0.74364,0.63757,1100,0.44424,0.68662,0.57364,0.62506,1100,0.27848,0.59781,0.49727,0.54293,1100,0.27727,0.74364,0.08273,0.17364,0.00000,0.26545,0.57364,0.16091,0.00000,0.32364,0.17909,0.49727,0.00000
votag,PS,-,14,3300,0.00000,0.60573,0.59545,0.59213,0.54839,0.74182,0.63060,1100,0.45091,0.67889,0.55545,0.61100,1100,0.27273,0.58991,0.48909,0.53479,1100,0.27636,0.74182,0.07818,0.18000,0.00000,0.28455,0.55545,0.16000,0.00000,0.32636,0.18455,0.48909,0.00000
votag,PA,-,14,3300,0.00000,0.61566,0.60606,0.60349,0.55723,0.73909,0.63540,1100,0.44212,0.68845,0.57455,0.62636,1100,0.27818,0.60130,0.50455,0.54869,1100,0.27970,0.73909,0.08455,0.17636,0.00000,0.26727,0.57455,0.15818,0.00000,0.32000,0.17545,0.50455,0.00000
votag,PS,-,15,3300,0.00000,0.60710,0.59788,0.59507,0.55198,0.73364,0.62998,1100,0.44303,0.67689,0.56182,0.61401,1100,0.27667,0.59243,0.49818,0.54123,1100,0.28030,0.73364,0.08455,0.18182,0.00000,0.27727,0.56182,0.16091,0.00000,0.31818,0.18364,0.49818,0.00000
votag,PA,-,15,3300,0.00000,0.61201,0.60303,0.60062,0.55525,0.73091,0.63108,1100,0.43879,0.68467,0.57636,0.62586,1100,0.28061,0.59611,0.50182,0.54492,1100,0.28061,0.73091,0.09000,0.17909,0.00000,0.26273,0.57636,0.16091,0.00000,0.32273,0.17545,0.50182,0.00000
votag,PS,-,16,3300,0.00000,0.60779,0.59636,0.59365,0.54301,0.73455,0.62442,1100,0.45091,0.67991,0.56000,0.61416,1100,0.27455,0.60044,0.49455,0.54237,1100,0.27455,0.73455,0.08636,0.17909,0.00000,0.29000,0.56000,0.15000,0.00000,0.32818,0.17727,0.49455,0.00000
