model,approach,setting,project,k_label,true_bug,pred_bug,overpred_bug,true_feature,pred_feature,overpred_feature,true_question,pred_question,overpred_question,n_invalid,predictions_path
Qwen-14B,ft,agnostic,_overall,finetune_fixed,1100,1026,0.9327272727272727,1100,909,0.8263636363636364,1100,1362,1.2381818181818183,3,results/issues11k/agnostic/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/finetune_fixed/preds_finetune_fixed.csv
Qwen-14B,ragtag,agnostic,_overall,k1,1100,1651,1.500909090909091,1100,1166,1.06,1100,480,0.43636363636363634,3,results/issues11k/agnostic/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/preds_k1.csv
Qwen-14B,ragtag,agnostic,_overall,k3,1100,1598,1.4527272727272726,1100,1140,1.0363636363636364,1100,558,0.5072727272727273,4,results/issues11k/agnostic/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/preds_k3.csv
Qwen-14B,ragtag,agnostic,_overall,k6,1100,1476,1.3418181818181818,1100,1114,1.0127272727272727,1100,592,0.5381818181818182,118,results/issues11k/agnostic/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/preds_k6.csv
Qwen-14B,ragtag,agnostic,_overall,k9,1100,1451,1.319090909090909,1100,1093,0.9936363636363637,1100,615,0.5590909090909091,141,results/issues11k/agnostic/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/preds_k9.csv
Qwen-14B,ragtag,agnostic,_overall,zero_shot,1100,1692,1.538181818181818,1100,1236,1.1236363636363635,1100,370,0.33636363636363636,2,results/issues11k/agnostic/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/preds_zero_shot.csv
Qwen-32B,ft,agnostic,_overall,finetune_fixed,1100,1334,1.2127272727272727,1100,1269,1.1536363636363636,1100,697,0.6336363636363637,0,results/issues11k/agnostic/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/finetune_fixed/preds_finetune_fixed.csv
Qwen-32B,ragtag,agnostic,_overall,k1,1100,1543,1.4027272727272728,1100,1154,1.049090909090909,1100,599,0.5445454545454546,4,results/issues11k/agnostic/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/preds_k1.csv
Qwen-32B,ragtag,agnostic,_overall,k3,1100,1475,1.3409090909090908,1100,1122,1.02,1100,694,0.6309090909090909,9,results/issues11k/agnostic/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/preds_k3.csv
Qwen-32B,ragtag,agnostic,_overall,k6,1100,1347,1.2245454545454546,1100,1099,0.9990909090909091,1100,734,0.6672727272727272,120,results/issues11k/agnostic/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/preds_k6.csv
Qwen-32B,ragtag,agnostic,_overall,k9,1100,1318,1.1981818181818182,1100,1084,0.9854545454545455,1100,752,0.6836363636363636,146,results/issues11k/agnostic/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/preds_k9.csv
