model,approach,setting,k_label,compute_s,avg_prompt_tokens,total_issues,f1_macro
Qwen-14B,ft,agnostic,finetune_fixed,2938.71,594.7,3300.0,0.7154
Qwen-14B,ft,project_specific,finetune_fixed,2948.04,594.7454545454547,3300.0,0.636609090909091
Qwen-14B,ragtag,agnostic,k1,1367.42,1478.5,3300.0,0.684
Qwen-14B,ragtag,agnostic,k3,2310.61,2806.0,3300.0,0.7117
Qwen-14B,ragtag,agnostic,k6,3546.49,4323.1,3300.0,0.7159
Qwen-14B,ragtag,agnostic,k9,4394.93,5375.5,3300.0,0.717
Qwen-14B,ragtag,project_specific,k1,1402.7900000000002,1488.890909090909,3300.0,0.6769
Qwen-14B,ragtag,project_specific,k3,2334.05,2807.0818181818177,3300.0,0.7060000000000001
Qwen-14B,ragtag,project_specific,k6,3537.5399999999995,4328.954545454545,3300.0,0.7104909090909092
Qwen-14B,ragtag,project_specific,k9,4332.110000000001,5349.872727272727,3300.0,0.7165181818181818
Qwen-14B,ragtag_debias,project_specific,k1,1848.4299999999998,1125.2363636363636,3300.0,0.6708272727272727
Qwen-14B,ragtag_debias,project_specific,k3,2545.4799999999996,1867.4363636363635,3300.0,0.6972454545454546
Qwen-14B,ragtag_debias,project_specific,k6,4223.15,3453.9636363636364,3300.0,0.7298545454545454
Qwen-14B,ragtag_debias,project_specific,k9,5431.039999999999,4541.081818181819,3300.0,0.7418363636363636
Qwen-32B,ft,agnostic,finetune_fixed,5824.42,594.7,3300.0,0.7462
Qwen-32B,ft,project_specific,finetune_fixed,5837.59,594.7454545454547,3300.0,0.7130272727272727
Qwen-32B,ragtag,agnostic,k1,4460.15,1478.5,3300.0,0.7257
Qwen-32B,ragtag,agnostic,k3,7281.22,2806.0,3300.0,0.7553
Qwen-32B,ragtag,agnostic,k6,11000.19,4323.1,3300.0,0.754
Qwen-32B,ragtag,agnostic,k9,13383.35,5375.5,3300.0,0.7594
Qwen-32B,ragtag,agnostic,zero_shot,2888.79,731.3,3300.0,0.6876
Qwen-32B,ragtag,project_specific,k1,4498.01,1488.890909090909,3300.0,0.7203272727272728
Qwen-32B,ragtag,project_specific,k3,7313.740000000001,2807.0818181818177,3300.0,0.7510272727272728
Qwen-32B,ragtag,project_specific,k6,11015.140000000001,4328.954545454545,3300.0,0.7544999999999998
