# Macro F1 after the VOTAG fallback for invalid LLM outputs (pooled over 3,300 test issues).
# RAGTAG/BRAGTAG: PS best k, fallback = VOTAG-PS at k=15 (unfiltered neighbors).
# Fine-Tune: PA, fallback = VOTAG-PA at k=16.
# Provenance: values transcribed 2026-09-22 from SANER2027/tables/method_comparison_ext.tex
# (generated by scripts/paper/tab_triangulation.py on the lab machine, 3 d.p.).
# Regenerate on the lab machine with scripts/paper/tab_triangulation.py, which rewrites this file.
method,setting,model,k,f1_macro_fallback
ragtag,PS,Qwen-3B,3,0.696
ragtag,PS,Qwen-7B,6,0.729
ragtag,PS,Qwen-14B,12,0.746
ragtag,PS,Qwen-32B,12,0.779
bragtag,PS,Qwen-3B,6,0.720
bragtag,PS,Qwen-7B,12,0.751
bragtag,PS,Qwen-14B,15,0.771
bragtag,PS,Qwen-32B,12,0.792
finetune,PA,Qwen-3B,-,0.711
finetune,PA,Qwen-7B,-,0.762
finetune,PA,Qwen-14B,-,0.785
finetune,PA,Qwen-32B,-,0.771
